i,t,m,age,sex,HH_size
84542,2015,USA,31,Female,5
84543,2015,USA,56,Male,2
84544,2015,USA,2,Male,5
84545,2015,USA,47,Male,1
84546,2015,USA,61,Female,3
84547,2015,USA,37,Female,7
84548,2015,USA,54,Female,3
84549,2015,USA,7,Female,4
84550,2015,USA,29,Male,6
84551,2015,USA,73,Male,2
84552,2015,USA,37,Female,7
84553,2015,USA,8,Male,5
84554,2015,USA,2,Male,4
84555,2015,USA,56,Female,2
84556,2015,USA,68,Male,3
84557,2015,USA,8,Male,6
84558,2015,USA,27,Male,2
84559,2015,USA,10,Male,7
84560,2015,USA,5.40E-79,Female,4
84561,2015,USA,55,Female,2
84562,2015,USA,60,Female,2
84563,2015,USA,9,Male,7
84564,2015,USA,74,Male,3
84565,2015,USA,25,Female,3
84566,2015,USA,71,Female,1
84567,2015,USA,65,Male,5
84568,2015,USA,72,Male,2
84569,2015,USA,55,Female,3
84570,2015,USA,11,Female,5
84571,2015,USA,5.40E-79,Female,5
84572,2015,USA,5.40E-79,Female,4
84573,2015,USA,16,Male,3
84574,2015,USA,9,Female,7
84575,2015,USA,61,Male,2
84576,2015,USA,46,Female,3
84577,2015,USA,5.40E-79,Female,3
84578,2015,USA,4,Female,7
84579,2015,USA,27,Female,3
84580,2015,USA,18,Male,3
84581,2015,USA,32,Female,2
84582,2015,USA,66,Male,2
84583,2015,USA,56,Female,3
84584,2015,USA,62,Female,6
84585,2015,USA,23,Male,5
84586,2015,USA,23,Male,4
